2min-50,2min-55,2min-60,2min-70,3min60,3min70,g to N factor
5.00139252,5.766311376,24.7617963,6.452777016,35.62756672,29.74357552,0.009806652
5.78592468,11.72875579,25.7620748,9.16921962,32.21485182,43.56114818,
5.1484923,10.70886398,19.18181131,7.01175618,30.6654008,45.8460981,
5.844764592,9.934138476,22.81027255,,,46.0716511,
6.315483888,9.875298564,20.20170312,,,46.34623735,
