Round 1,Round 2,Round 3,Round 4
29,36,85,29
28,80,75,48
38,17,33,75
56,24,45,22
47,15,61,24.75
22,20,42,12
20,34,52,35
26,9,58,15
14,13,40,20
7,35,37,15
15,11,39,14
22.25,20,33,17
33,48,,9
28.5,71,,38.5
26,21,,13
6,8,,55.5
12,9,,75
19,19,,36
13,29,,43
31,10,,
33,12,,
